x,y,Cluster_ID
10.86012,5.3943567,6
10.735304,5.2944427,6
10.635609,5.2775416,8
10.541712,5.29108,8
10.431771,5.3375196,8
10.505109,5.4281144,8
10.7412405,5.6384797,6
11.107331,5.706281,6
11.369875,5.8253493,6
11.506178,5.8733387,6
11.619569,5.891519,6
11.968849,5.7811804,6
11.950955,5.7762055,6
11.947551,5.8632607,6
11.682929,6.2524085,6
11.192692,6.1692066,6
10.732216,6.017978,6
10.548541,5.9668875,8
10.520547,5.9268913,8
10.542445,5.871159,8
11.138333,5.80495,6
11.465862,5.82442,6
11.64387,5.8427067,6
12.043831,5.7019596,6
12.082223,5.688043,6
12.100073,5.664368,6
12.002938,5.6273727,6
10.76506,5.2495894,6
10.697681,5.3413815,6
10.656665,5.418191,6
10.635758,5.4493093,8
10.785735,5.5223002,6
10.90441,5.591203,6
11.0842705,5.724682,6
11.3169775,5.7838306,6
11.528447,5.8383217,6
11.685636,5.9996276,6
11.7963505,5.973412,6
12.0377865,5.9671326,6
12.059115,5.9340763,6
12.131125,5.9449162,6
12.177522,5.8794456,6
12.130828,6.0174575,6
12.119102,6.0647664,6
12.0363655,6.52133,6
11.84308,7.016975,6
11.753135,7.2284718,6
11.734915,7.397312,0
11.719634,7.402486,0
11.618246,7.3218646,6
10.738105,6.5283995,6
9.675306,6.407814,8
9.586387,6.4219456,8
9.602609,6.490088,8
9.714502,6.7234855,8
10.945976,7.6588426,7
11.43026,7.7301207,0
11.454554,7.731353,0
11.471996,7.790892,0
11.507196,7.819326,0
11.610869,7.7884555,0
11.6637,7.850762,0
11.686777,7.837947,0
11.668054,7.798746,0
11.641202,7.630672,0
11.530508,7.5928936,0
8.40044,5.6200347,8
8.400955,5.9085016,8
8.424069,6.1701756,8
8.404305,6.081334,8
8.415851,5.985542,8
8.536269,5.5961614,8
8.632601,5.454406,8
8.97382,4.884854,3
9.638404,4.687383,6
9.872983,4.534984,6
9.639068,3.716666,3
9.454296,3.551401,3
9.456288,3.495519,3
9.378604,3.439754,3
9.190105,3.4093385,3
8.407199,4.2111216,3
8.284585,4.260944,3
8.378493,4.391349,3
8.393618,4.454941,3
8.412615,4.5517774,3
8.446277,4.750777,3
8.373683,5.1426673,3
8.349404,5.337877,3
8.426493,5.653397,8
8.375887,5.774202,8
8.407843,5.8065453,8
8.521857,5.8423343,8
8.436593,5.720169,8
8.419149,5.2604003,3
8.8731985,4.7003007,7
9.08559,3.9812634,3
9.18207,3.8559675,3
